artistName,albumName,albumCover,releaseDate,trackNumber
Lil-Tjay,Elegance (feat. Lil Tjay),https://i.scdn.co/image/ab67616d0000b2737c616b927e31b348f8da7826,2022-02-17,3
Lil-Tjay,Not In The Mood (feat. Fivio Foreign & Kay Flock),https://i.scdn.co/image/ab67616d0000b2735d3f0c9813fbd472618124a3,2021-10-22,1
Lil-Tjay,In Too Deep,https://i.scdn.co/image/ab67616d0000b273c929a219e669c8720a31fc1b,2021-10-08,1
Lil-Tjay,Dreams Unfold,https://i.scdn.co/image/ab67616d0000b273adb5f4f765b65b8d9e693cda,2021-08-25,1
Lil-Tjay,Best Friends 4L (feat. Lil Tjay),https://i.scdn.co/image/ab67616d0000b273117446d2903f85f587b573ec,2021-08-06,1
Lil-Tjay,Best Friends 4L (feat. Lil Tjay),https://i.scdn.co/image/ab67616d0000b2733aad538cbf82a3185f5ba457,2021-08-05,1
Lil-Tjay,Calling My Phone,https://i.scdn.co/image/ab67616d0000b2735fead3083c55648b09d68807,2021-02-10,1
Lil-Tjay,Racin' (feat. Lil Tjay),https://i.scdn.co/image/ab67616d0000b273ed585ace3df6704216bf26ab,2020-08-06,1
Lil-Tjay,Hood Scars 2 (with Lil Tjay),https://i.scdn.co/image/ab67616d0000b273026ede01afb15a4ecf8dd964,2020-06-19,1
Lil-Tjay,Hood Scars 2 (with Lil Tjay),https://i.scdn.co/image/ab67616d0000b2734b23e8506f684c1487e61446,2020-06-19,1
Lil-Tjay,Fade Away,https://i.scdn.co/image/ab67616d0000b273f63100a724b938a500bf896c,2020-04-17,1
beabadoobee,Fake It Flowers,https://i.scdn.co/image/ab67616d0000b273942201cac6bfe1367b017286,2020-10-16,12
beabadoobee,Loveworm (Bedroom Sessions),https://i.scdn.co/image/ab67616d0000b2730194c6ae87ecd5e3bda9e27b,2019-07-08,7
beabadoobee,Loveworm,https://i.scdn.co/image/ab67616d0000b273ceca3ef39ab8f9b59acff394,2019-04-26,7
beabadoobee,Patched Up,https://i.scdn.co/image/ab67616d0000b273fe11583497b2a332995b88ed,2018-12-07,7
beabadoobee,See you Soon,https://i.scdn.co/image/ab67616d0000b27346cad895c840c1f5d4c0e4dc,2022-04-25,1
beabadoobee,iScream,https://i.scdn.co/image/ab67616d0000b27352da18be1e355f60c1cfc966,2022-04-13,1
beabadoobee,Talk,https://i.scdn.co/image/ab67616d0000b2730f36079f1801980c665989b1,2022-03-24,1
beabadoobee,Fall In Love With A Girl (feat. Beabadoobee),https://i.scdn.co/image/ab67616d0000b27386f897961cf6b7a83a55937a,2022-02-25,1
beabadoobee,Silver Into Rain,https://i.scdn.co/image/ab67616d0000b273b8353f671b7f75d88067e381,2022-02-01,1
beabadoobee,Silver Into Rain,https://i.scdn.co/image/ab67616d0000b2736eedd034e55dd7d074e4c3ff,2022-02-01,1
beabadoobee,Our Extended Play,https://i.scdn.co/image/ab67616d0000b273110bbc10d8188cf73b3d336c,2021-06-24,4
beabadoobee,Last Day On Earth,https://i.scdn.co/image/ab67616d0000b273ed2fb894320745f5050cad7d,2021-03-25,1
beabadoobee,Last Day On Earth,https://i.scdn.co/image/ab67616d0000b2730c8d3dd1dd2b93f0b2a9cd80,2021-03-25,1
beabadoobee,Winter Wonderland,https://i.scdn.co/image/ab67616d0000b273be33f5b40e58e7167bf7d673,2020-11-30,1
beabadoobee,Together,https://i.scdn.co/image/ab67616d0000b273521faa79bdde97ddb1186c6d,2020-10-14,1
